,user_review,rating,review_date,pengalaman visual,fungsi,performa dan stabilitas
302,"Noice keren yg selalu menemani aku dimana aja, dijalan arah balik gawe, pulang gawe keren polll sukses trusss noicee",5,2023-12-10 6:18:09,netral,netral,netral
304,Bagus Bgt seru apalagi aku suka denger Scary tings,5,2023-12-09 11:47:04,netral,netral,netral
307,"Nyesel update aplikasi, ga bisa di buka saat offline.",2,2023-12-09 3:01:08,netral,netral,negatif
308,"Q suka cerita horor nya sm sejarah ny,bagus bgt buat temenin klo lg masak dan kegiatan lainny",5,2023-12-09 1:20:15,netral,netral,netral
310,Habis update malah nyedot kuota. Maksa ke video mulu. Padahal konten udah didownload,1,2023-12-08 4:37:25,netral,negatif,netral
311,"Kenapa setiap mau beli koin selalu tidak dapat menyelesaikan pembelian. Pastikan anda telah memilih negara yang benar akun Play anda, padahal sebelumnya tidak ada yang di otak atik dan aman aman aja saat beli koin",1,2023-12-07 15:09:15,netral,netral,netral
313,ada iklan di akhir vidio,4,2023-12-07 7:29:42,netral,netral,netral
315,Noice knp aplikasimu pada saat mau di buka loading lama sekali (looping di open loading nya)pdhal sebelum nya tidak gini loh 😢,2,2023-12-06 19:39:40,netral,netral,negatif
316,Sekarang malah error mau pilih dengerin audio doang ga pake video malah gabisa dan kudu dengerin dan play video jadi boros kouta,1,2023-12-05 11:12:50,netral,negatif,netral
317,Kasih opsi matiin video jangan otomatis nyala.. makan kuota aja sial,1,2023-12-05 6:34:07,netral,negatif,netral
319,"Periode 4 November ke 4 Desember bikin rugi bgt, udh buka noice premium eh malah podcaster nya gak ada update-update 🤮",1,2023-12-04 1:38:52,netral,netral,netral
320,Wooy noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain anjir noice kntl,1,2023-12-03 14:43:07,netral,negatif,netral
321,saya pakai untukradio streaming lokal bali dari luar bali cepet banget hampir tidak ada bupper.,5,2023-12-03 10:41:11,netral,positif,netral
325,Mantap terus maju layanan publik yang terintegrasi untuk pengguna noice di seluruh dunia dari Indonesia untuk Indonesia dan dan dunia 🇮🇩,5,2023-12-02 10:59:51,netral,netral,netral
326,Kenapa nggak bisa memutar yang sudah di download... Itu pun konten yang gratis...,3,2023-12-02 0:50:40,netral,negatif,netral
327,Kecewa udah ga bisa offline skrg. Padahal ini aplikasi fav. Gua dulu.,1,2023-12-01 21:27:30,netral,netral,netral
328,"Jelek , jauh bagusan spotify",1,2023-12-01 19:45:56,netral,netral,netral
329,"Setelah di update aplikasi makin sulit, loadingnya lama banget, padahal sinyal kuat, kuota masih ada, sampah hp udah dibersihin, perangkat mendukung, WHY NOICE ???? Dan sekarang makin gak bisa di denger offline, didownload tapi harus online ? Mengecewakan.",2,2023-12-01 16:38:43,netral,negatif,negatif
331,"Iklannya makin nyebelin, tak bisa minimize dan berdurasi panjang",3,2023-11-30 4:39:59,netral,negatif,netral
333,"Bagus bgt, tpi knapa belakangan ini nyedot kuotanya gde bgt smpe 1.9Gb ya? Pdhal hanya konten audio",5,2023-11-27 23:11:45,netral,negatif,netral
335,"Kalau bisa, hadirin juga versi TVnya biar bisa denger podcast dri TV",5,2023-11-27 15:32:19,netral,netral,netral
337,"Abis di update suara makin kecil volume udah up pdhl kirain hp gw yg error gataunya emng aplikasinya, pas coba music biasa dari hp volume up emng kenceng payah minta update mulu bknnya makin bnr malah down",2,2023-11-26 15:51:34,netral,negatif,netral
338,Keren Noice di perbanyak kontennya,5,2023-11-26 9:42:48,netral,netral,netral
340,Guna didownload buat apa bila kalau di play harus loding tunggu online💩,1,2023-11-26 2:48:29,netral,negatif,netral
341,Banyak bgt iklan ngeganggu di tengah tengah. Padahal di awal udah ada 2 iklan dan nggak bisa diskip pulak,3,2023-11-25 17:57:56,netral,netral,netral
342,"Tolong dong noice kalo masukin iklan itu setelah user memilih pilihan podcast. Ini belom apa apa udh iklan, trus baru milih podcast iklan lagi.. iklan mulu.. Iklan boleh tapi ya jangan baru mau milih podcast udah iklan juga dong. Kan gajelas. Contoh youtube tu dia kasih kita pilihan untuk klik video yg mau kita tonton, nah baru dikasih iklan sama dia. Lah ini milih juga belum udh iklan. Hadehhhhhh bintang 1 ah tadinya udh bintang 5 paten",1,2023-11-25 16:29:18,netral,netral,netral
343,berapa lama bert... berapa lama bert... berapa lama bert...,1,2023-11-24 12:33:37,netral,netral,netral
345,"Kok black green, lama bener loading nya",3,2023-11-23 2:21:04,negatif,netral,negatif
346,"Bagi orang yang suka radio, sulit untuk tidak suka app ini.",5,2023-11-22 7:32:35,netral,netral,netral
347,Parah tidak bisa masuk. Masa pas membaca peraturan tidak ada lanjutkan.,1,2023-11-20 22:35:17,negatif,netral,negatif
348,recomended buat yang males baca tinggal dengerin aja podcast,5,2023-11-20 1:23:17,netral,netral,netral
349,"jangan lupa dengerin berizik, podcast musik paling gaul",5,2023-11-19 11:14:26,netral,netral,netral
350,"Dikit"" berenti mulu yg diputer, aneh bngt",1,2023-11-19 11:08:03,netral,negatif,netral
353,"ini cocok, buat saya.. krn lagu2 yg saya suka bs dibuat jd nada dering hp..",5,2023-11-17 13:00:46,netral,netral,netral
355,Makin ga sreg noice ini,1,2023-11-16 2:09:27,netral,netral,netral
356,"bagus banget.. 👍tempat kumpul audio konten , podcast radio musik",5,2023-11-15 12:16:48,netral,netral,netral
357,"Sekarang jadi aplikasi yang sering saya gunakan, mantab",5,2023-11-15 2:42:55,netral,netral,netral
361,"Tolong bikin noice khusus audio aja tanpa vidio, atau noice lite. Sekarang noice tambah ribet",2,2023-11-13 0:11:13,negatif,netral,netral
363,"Usul, agar menyebarkan podcastnya setiap saat tidak hanya sehari sekali.",3,2023-11-12 13:46:41,netral,netral,netral
365,keren tp kuotane entek akeh,5,2023-11-12 8:35:54,netral,netral,netral
368,Apk apa ini Banyak sekali iklan nya,1,2023-11-11 8:14:27,netral,netral,netral
370,aku sungguh menyukai aplikasi Noice. sungguh bagus makanya aku kasih bintang 5,5,2023-11-11 2:03:07,netral,netral,netral
371,kenapa dah gak bisa play di web kayak dulu? hadehh,3,2023-11-10 12:57:32,netral,netral,netral
372,Iklan sih bole..tapi jangan kebanyakan juga Udah over iklan kalian,1,2023-11-10 0:12:57,netral,netral,netral
375,"Gaperlu rebutan radio mobil. Skrg udh bisa nampilin judul lagu yg diputar. Tp tolong tingkatkan lg, biar bisa keliatan full judul lagu yg sedang diputar gacuma sepotong aja, terimakasih",5,2023-11-09 8:37:41,netral,netral,netral
376,"KOK BISA PODCAST KENA MENTAL DIBUNGKUS ALASAN GUE DOWNLOAD, KRNA ADA TU PODCAST PADAHAL LEBIH BANYAK PODCAST YANG LEBIH GARING GAK JELAS",1,2023-11-08 20:41:16,netral,netral,netral
378,"Tolong dong untuk UI Playlist dibikin simple. Ribet banget ngatur podcast yg udah didengerin sama belum, kek otomatis ngulang2 terus.",4,2023-11-07 18:05:12,negatif,netral,netral
379,suka dengerin podcast di atas motor,5,2023-11-07 13:43:50,netral,netral,netral
380,bagus apk nyaa saya sangat suka,5,2023-11-06 23:20:31,netral,netral,netral
381,Tolong dong kasih fitur lock rotasi di fullscreen noice video. Soalnya ganggu banget waktu hp miring dikit eh videonya malah gajadi fullscreen. Mau subscribe premium biar bisa liat konten video malah agak mikir-mikir lagi mau lanjut subscribe,5,2023-11-06 19:01:03,negatif,netral,netral
382,"Komenan di semua episode ilang, itu kenapa min?",3,2023-11-06 8:01:40,netral,netral,netral
385,Pengen dengerin noice update berita dari ruang 28. Tapi versi web error tidak bisa play. Ram device ngak mesti cukup buat download noice di play store. solusinya ya tinggal lewat web tapi kok webnya ngak dibener benerin. Lama-lama aplikasi ini jadi kapitalis kayak Telkomsel.,1,2023-11-04 17:18:41,netral,netral,netral
388,Kalau dengerin podcast bentuk video layar auto rotate. Mohon adakan fitur lock rotasi layar supaya bisa nonton landscape sambil tiduran,3,2023-11-03 17:27:26,negatif,netral,netral
389,Bagus tapi banyak iklan kalo bisa di gratisin aja ya semuanya jadi pendengar noice pada seneng dan pasti apk ini di recommendasiin sama kerabat keluarga pokoknya semua deh kalo semua2 gratis. itu saja komen saya sekian dan Terima gaji🙏🤧,4,2023-11-02 7:31:11,netral,netral,netral
390,"APLIKASI IKLAN, JGN DI DOWNLOAD,",1,2023-11-02 0:43:54,netral,netral,netral
391,bikin di android tv min,5,2023-11-01 19:16:34,netral,netral,netral
392,Aplikasi payah. Udh top up mahal mahal coin nya gk masuk sama sekali,1,2023-11-01 19:16:32,netral,negatif,netral
394,Saya top up coin setelah itu coin tidak bertambah. Maaf saya stop dengerin konten noice,1,2023-11-01 15:07:15,netral,negatif,netral
395,gmn si saya udh top up tapi gamasuk koinnya padahal di dana udah dibayar,1,2023-11-01 14:36:34,netral,negatif,netral
397,GK bisa kaitkan akun kenapa ya? Sampai sekarang saya masih pakai akun tamu,3,2023-10-31 17:22:22,netral,negatif,netral
399,"Program awal noice yg bagus2 malah ga diperpanjang. BOBA, OBROLAN LELAKI, DLL. KEMBALIKAN",4,2023-10-30 15:59:43,netral,netral,netral
400,KEMBALIKAN PROFILE YANG LAMA DENGAN PEMBARUAN YANG EFISIEN - Melihat komentar sendiri - logo subscription yang diikuti - Melihat konten VIP yang sudah dibeli - Tampilan latar belakang yang berbeda untuk noice premium - Tampilan playlist yang dibuat pengguna sendiri dan dapat dilihat publik - Berapa koin yang dihabiskan di noice Sejauh ini masih segini Next update kalau TERIMPLEMENTASI LANGSUNG BINTANG 5 ⭐⭐⭐⭐⭐ Untuk apresiasi dari saran saya boleh email langsung,1,2023-10-30 15:10:37,negatif,netral,netral
405,ini sih bakal jadi apps yang keren...dan emg bner serius bgt di take care dgn org yg tepat dan konten yg tepat,5,2023-10-29 2:07:42,netral,netral,netral
406,Gimana si mau langganan pakay gopay ko gabisa. Gajelas bgt,1,2023-10-28 11:51:18,netral,negatif,netral
407,"Ga ada backsound nya jd kurang greget, dan kami dclien kurang puas dgn tim Detektif Astral coba disamain dgn yg di YouTube cuma ini versi audio aja",3,2023-10-28 11:03:49,netral,netral,netral
412,"Buat yg suka nonton podcast tapi yg berisi audio, nih si NOICE beneran kasi yg beda. Jadi serasa nonton podcast tanpa harus nonton video, bisa di buat buka aplikasi lainnya. Jd bisa denger konten audio favorit sambil ngerjakan pekerjaan lainnya.",5,2023-10-27 3:54:11,netral,positif,netral
413,Bagus. Saran : untuk pengguna gratis tolong dibiarkan membuat playlist untuk acara vip (hanya sekedar memasukan ke playlist) supaya memudahkan saat memilih langganan channel yang mana. Terimakasih.,4,2023-10-26 17:32:59,netral,netral,netral
414,Coin lama banget masuknya sama hadeuh oremium sama aja terbatasnya ternyata nyesel sayaaa,1,2023-10-26 15:01:35,netral,negatif,netral
415,Sering tiba2 berhenti. Setelah d perbaharui radio nya malah ga bisa d akses,3,2023-10-26 1:36:28,netral,negatif,negatif
416,"kontennya bagus2 sayang banget aplikasinya terlalu jelek. saran buat yang ngelola aplikasi, mending surrend deck! belajar lagi deck! beban tim! buta map!",1,2023-10-25 15:43:15,netral,netral,netral
417,"Males bgt sekarang buka noice Iklan ny brutal banget.. apk lain kaya youtube dll jg ada premium, tp ga sebrutal ini iklan nya",1,2023-10-25 6:26:02,netral,netral,netral
421,"perubahan bintang karna tim gercep buat membenahi aplikasinya, dan di dm langsung by email, makasih min",4,2023-10-24 16:15:42,netral,netral,netral
422,Haiii gmn cara aktifkan noice premium ya? Tinggal beli 30 coin langsung aktif kah noice premium nya atau gmn? Soalnya saya coba gak bisa,1,2023-10-24 13:40:29,netral,netral,netral
425,sangat bagus ada wadah tempat kita mendengar dan didengar pemikiran kita tentang apapun tanpa saling menghujat dalam hal apapun tapi menghargai perbedaan itu,5,2023-10-23 23:22:57,netral,netral,netral
427,Fitur radio susah buat dimainkan,2,2023-10-23 9:31:27,netral,negatif,netral
428,Tidak bisa login menggunakan FB dan tidak ada metode login yang bisa ditambahkan di menu profile,1,2023-10-23 0:22:26,netral,negatif,netral
429,Kok gabisa keluar suaranya ???,1,2023-10-22 15:02:51,netral,negatif,netral
430,Tingkatkan terus maju noice podcast sampe puncaknya oke zone,3,2023-10-22 12:34:09,netral,netral,netral
431,tolong radionya diperbaiki lagi. sering bgt error soalnya...gabisa diputer,1,2023-10-21 23:50:12,netral,negatif,netral
432,"Suka bgt sm ni apk, the besttt lahhhhh kalo soal podcast², gw paling demen dgr podcast ""Scary Things"" Seru bgt jujurrr, ni apk worth it bgt, mana bisa dgr offline, love love dehhhh, kalo ad bintang 10 gw ksih rat 1000/10 sihh 😁😁🤙",5,2023-10-21 11:51:57,netral,positif,netral
433,saya suka dengan aplikasi ini kerena saya suka dengar podcast 👍🏻,5,2023-10-21 7:26:48,netral,netral,netral
435,baguss bangettt tapi rada kesel banyak bet premiumnya,4,2023-10-21 3:05:27,netral,netral,netral
439,"Lgi asik dngerin , sering x tiba"" trkluar sndri dan audio mati Pas mau dngerin lagi malah iklan , dan udh slsai iklan trkeluar lagi. Gtu aj trus",2,2023-10-20 1:41:16,netral,negatif,negatif
442,Kenapa di akun saya tidak bisa langganan bulanan lagi?,3,2023-10-19 4:12:19,netral,netral,netral
443,"Bintang dinaikin karena udh dibaca, keluhan terbesar yaitu sering terjadi bug dan tiba2 berhenti, pas di nyalain lagi malah dibikin lebih bete lagi karena nungguin iklan setengah menit, hal kyk gini bikin bete bgt",4,2023-10-18 16:42:14,netral,netral,negatif
444,Aplikasi nya bagus banyak cerita horor tapi kenapa film sudah di donwload gk bisa di putar anying kenapa bisa gk buang data emang aa ettdah negatif gua,1,2023-10-18 10:32:36,netral,negatif,netral
445,"Koq g bisa masuk ya,apa ada gangguan, tlng di jawab",4,2023-10-18 5:33:32,netral,netral,negatif
446,bermanfaat sekali.. sambil mengerjakan sesuatu sambil menambah wawasan,5,2023-10-17 13:55:24,netral,netral,netral
447,"Ada bug di Noice ,pas play vidio podcast sering ke puter sendri layarnya",4,2023-10-17 4:23:27,negatif,netral,netral
449,Lihat subscribe nya jadi gak bisa,1,2023-10-16 17:37:35,netral,netral,negatif
451,Cara hilangin overlay dibawah gimana ya? Terus cara ganti akun sebelah mana? Atau gabisa ganti akun?,4,2023-10-16 6:34:40,netral,netral,netral
452,Tempat paling asyik dan seru. Iklanya normal gak mengganggu ketika dengerin podcast.,5,2023-10-16 1:25:37,netral,positif,netral
453,Iklannya suka ngebug tolong lah ganggu bgt!!!!,1,2023-10-16 0:22:11,netral,negatif,netral
454,Kenapa setiap 5 menit mati kalau streaming podcast padahal jaringan lancar mohon di perbaiki .,2,2023-10-15 11:18:00,netral,negatif,netral
456,aplikasi lumayan untuk dengerin radio online,4,2023-10-14 9:51:04,netral,netral,netral
459,enak buat kita gak bosen dengar nya karena banyak yang seru di dengar,5,2023-10-12 15:20:20,netral,netral,netral
461,Pake wifi gak mau muter,1,2023-10-12 0:03:57,netral,negatif,netral
462,Opini Tengah Malam kok gak ada lagi ?,1,2023-10-11 14:09:03,netral,netral,netral
463,"Gatau kenapa tadi sore dengerin Romance Dawn baru dapet setengah, iseng liat traffic paket data kok tiba"" 1,5GB. Ada apa ini, padahal cm mode suara gapake video",3,2023-10-11 13:04:34,netral,negatif,netral
466,aplikasi tulil sinyal gua lancar tapi pas nge play malah macet-macet gajelas. emang paling bener denger podcast di ijo ajaa njinkkxxx,1,2023-10-11 2:03:01,netral,negatif,netral
470,Kurang suka sama cara iklan nya Noice. Ga bisa langsung atur waktu otomatis mati pas masih iklan,2,2023-10-08 13:48:40,netral,netral,netral
471,"dikit dikit iklan, ganggu bener asli",1,2023-10-08 2:49:07,netral,netral,netral
472,"Hai Develop Noice, Ada kendala putar otomatis antar part di audiobook, baik antar judul dalam satu buku audiobook mampun sesama audiobook lainnya dalam menu antrean. Ini terjadi saat file audio di dengarkan saat live / on data internet. Coba di lagi, Semoga lebih baik Noice ✅😉",4,2023-10-07 23:46:21,netral,negatif,netral
474,kalo bisa save data di sd lebih ok,4,2023-10-07 4:45:28,netral,netral,netral
476,trio kurnia always in my heart,5,2023-10-06 12:22:36,netral,netral,netral
477,"Kurangi durasi iklan, iklan 30 detik bisa muncul 2x",3,2023-10-06 12:08:39,netral,netral,netral
479,bagus seru gak gabut kalo gak ada kuota,4,2023-10-06 4:47:06,netral,positif,netral
483,"Iklan nya makin lama cuyy.. lagi dengerin cerita pas pergantian, iklan.. bikin denger cerita ga tegang lagi",1,2023-10-04 21:34:03,netral,netral,netral
485,Udh download podcast tp pas dilihat didownload msh kosong,3,2023-10-03 13:18:15,netral,negatif,netral
486,Bisakah ditambahkan fitur Widget ?,4,2023-10-03 10:46:15,netral,netral,netral
490,"OK PUNYA, KONTEN AUDIO YG KREATIF, & SATU DALAM SEMUA, BANYAK FITUR serta PADA SAAT BERPINDAH KONTEN__PEMUTARAN KONTEN YG MASIH BERJALAN MASIH BERLANGSUNG dalam Mode MINIMIZED.NAMUN ,ADA KEKURANGAN, semisal : RADIO ditiap daerah MASIH SEDIKIT & adanya IKLAN ROKOK, walaupun kalau berlangganan iklan TIDAK ADA. TERIMAKASIH, MUDAH MUDAHAN KEDEPANNYA BANYAK FITUR YG BERGUNA DI SEMATKAN & SEMAKIN KREATIF. THANX LARGE.",5,2023-10-01 7:12:31,positif,positif,netral
491,"aplikasi apaan sih, dah di download malah ga bisa di play, jelek apk nya",1,2023-10-01 0:33:47,netral,negatif,netral
495,"Aplikasi ini sangat menyenangkan, banyak podcast yang seru dan edukatif disini",5,2023-09-30 5:27:02,netral,netral,netral
497,Sekarang kalo comment gak keliatan di aktifitas ya? Semenjak beli VIP,3,2023-09-29 12:00:08,netral,netral,netral
498,"bagus, cuman ya tetap sama aja, berbayar kalau ngga mau ada iklan wkwk. tapi saya puas kok. bisa dengar podcast kesukaan saya",4,2023-09-29 11:33:03,netral,positif,netral
499,Semenjak abis update klo ada yg tipe video suka keluar sndiri gk bisa fullscreen aneh! Bnerin lg lah tolong lah noice bete ni paranoice nnti,4,2023-09-29 10:48:46,negatif,netral,negatif
500,sangat baik untuk di dengar setiap hari,5,2023-09-29 5:58:49,netral,netral,netral
501,"aplikasinya bagus,,, bisa di cobaa",4,2023-09-28 18:12:20,netral,netral,netral
503,Kenapa harus premium sih kocak jadi males gw dengeri nya. Dah itu konten yang free jadi dikit lagi. Pendapatan dari iklan aja udah banyak ini di tambah lagi di suruh premium hedeh,1,2023-09-28 10:27:36,netral,netral,netral
504,"Aplikasi paling favvv❤️❤️ all podcast, cerita yg di apk ini baguss semuaaa",5,2023-09-28 7:46:46,netral,netral,netral
505,Skrg noice malah harus bayar pake koin untuk beberapa konten. Mana ada iklan dimana-mana,1,2023-09-28 0:35:15,netral,netral,netral
506,Radio kesukaan saya dakta sudah bisa 😁,5,2023-09-28 0:21:00,netral,netral,netral
509,Kembalikan podcast sex and J-city,1,2023-09-27 4:38:15,netral,netral,netral
512,Podcast Hiburan & sumber informasi terbaik saat ini,5,2023-09-25 10:34:06,netral,netral,netral
513,Seruuuu banget cerita podcastnya bener² cocok untuk menemani waktu luang,5,2023-09-24 14:34:10,netral,netral,netral
514,Bagus nih saya mudah dengar radio mantab,5,2023-09-24 7:40:41,netral,positif,netral
516,Buat membership lah biar dengan podcast lebih murah,2,2023-09-22 12:38:59,netral,netral,netral
517,"baru download, mudah mudahan bagus 🙉",4,2023-09-22 9:45:23,netral,netral,netral
518,"""jadi gini moi bi nat""",1,2023-09-22 9:44:29,netral,netral,netral
521,Sering force close dan pemutarnya restart playing,2,2023-09-21 8:38:40,netral,negatif,negatif
522,Aman laah...bisa buat dengerin radio kalo lagi d bus dll. Ada podcastnya juga yg lucu2....,5,2023-09-21 7:27:39,netral,netral,netral
523,"Apps gajelas, udah beli konten premium tapi ada iklannya.",3,2023-09-21 6:28:32,netral,negatif,netral
524,Terlalu ribet tampilannya. Enak youtube saja simpel. Pamit. 🙏,1,2023-09-21 2:13:02,negatif,netral,netral
525,Sepertinya ada 𝘣𝘶𝘨 di beberapa fitur. Seperti pada fitur 𝘥𝘰𝘸𝘯𝘭𝘰𝘢𝘥. Konten-konten yg sudah diunduh seringkali tidak bisa diputar. Mohon segera diperbaiki.,4,2023-09-20 2:49:14,netral,negatif,netral
527,teman iseng dan teman lg BT,5,2023-09-19 18:48:20,netral,netral,netral
528,Video podcast tidak bisa diplay,2,2023-09-19 17:30:38,netral,negatif,netral
529,"aplikasi the best, banyak menyediakan konten-konten keren",5,2023-09-19 9:59:29,netral,netral,netral
530,Terima kasih banyak untuk aplikasi noice,5,2023-09-19 9:39:49,netral,netral,netral
531,"Gimana caranya langganan noice premium, kenapa gk bisa di klik",5,2023-09-19 8:36:22,netral,negatif,netral
537,"Mahal, ada iklannya lg skrg👎",1,2023-09-17 2:28:43,netral,netral,netral
538,"Cuma kurang kontenya aj, semua sudah keren, ap lgi ad fitur video skrng",5,2023-09-16 11:13:26,positif,positif,netral
539,"Bagus banget apl nya, apalagi ada scary things favorit saya",5,2023-09-16 1:30:23,netral,netral,netral
540,Banyak bug dan aplikasi kurang lancar,3,2023-09-15 18:42:53,netral,netral,negatif
541,"Masa mau dengerin podcast setiap 5 detik langsung auto lanjut ke eps berikutnya mana sebelumnya harus ada iklan yang gak bisa diskip ""lazada happy lazada happy kirim cepat gratis ongkir uangmu kembali lazada selalu bikin happy enggak happy b.ngs.t",1,2023-09-15 14:07:14,netral,netral,netral
542,Udah langganan premium tapi pas mau perpanjang langganan kok bingung gini ya gimana ?,3,2023-09-15 5:55:43,netral,netral,netral
543,"Kapitalis, bayar untuk sesuatu yg ga worth it, mending langganan vidio bisa nonton liga inggris",1,2023-09-15 4:33:45,netral,netral,netral
544,"pokoknya bintang lima, lagi males nulis banyak banyak..tau kan artinya bintang lima?",5,2023-09-14 23:52:30,netral,netral,netral
545,"Bngst kontrak lambemu gak diperpanjang, inget yang bikin lu gede siapa bngst",1,2023-09-14 19:50:24,netral,netral,netral
546,Halo noice. Saya mau tanya. Saya beli coin. Tapi belum masuk-masuk ke akun saya. Ada kendala dimana ya?,3,2023-09-14 5:33:41,netral,netral,netral
547,mantap fiturnya banyak pilihan dan informatif,5,2023-09-14 3:02:36,netral,positif,netral
548,Sistemnya kenapa ga dibikin berlangganan ajaa? Jauh lebih mahal kalo pake koin,3,2023-09-13 17:32:09,netral,netral,netral
549,Platform sepi kebanyaan iklan kntl!,1,2023-09-13 8:48:55,netral,netral,netral
550,suka banget dengan aplikasi ini tapi tolonglah masa mau dengerin episode baru harus bayar pakai coin? udah gitu harga koin mahal banget,4,2023-09-13 2:44:38,netral,netral,netral
551,"Gilaaaa!!! ini tu keren banget, asik, love you full noice 😘😘😘",5,2023-09-12 12:55:40,netral,netral,netral
552,"Biasa saja, tapi seru juga sih.",3,2023-09-11 17:47:40,netral,netral,netral
554,ok bgt...bisa nemenin hari2 dengan stay on noice,5,2023-09-11 10:22:48,netral,netral,netral
557,"Kenapa gk bisa download, bulan lalu lancar"" aja sekarang malah gk bisa ""menunggu"" terus gk jalan"" Udh di DM belum di respon",1,2023-09-10 3:35:07,netral,negatif,netral
558,"aplikasi pengantar tidur, bagus bgttt",5,2023-09-10 2:19:59,netral,netral,netral
559,"Mungkin untuk konten vip kedepannya jangan pakai koin, langsung biaya bulanan kalo bisa",3,2023-09-09 12:35:37,netral,netral,netral
560,"Bener2 kebanyakan iklan, mao nyari salah satu eps trio kurnia aja malah denger iklan bejibun. Payah",2,2023-09-09 6:02:40,netral,netral,netral
563,Seruuu rebahan sambil dengerin cerita Horor 😁,5,2023-09-08 13:44:18,netral,netral,netral
564,Buat aku yang lebih suka mendengarkan apk ini bagus banget. Tapi nggak tau kenapa saat ini susah banget buat bikin audiogram nya kenapa ya?,5,2023-09-08 8:50:34,netral,netral,netral
569,terlalu banyak iklan yang ganggu gak kaya dulu lagi,1,2023-09-06 18:35:20,netral,netral,netral
570,download ini gara gara liat syifa angga,5,2023-09-06 12:43:43,netral,ner,netral
573,Keeren bgt ni bisa dengerin dimana aja trus jg lucu2,5,2023-09-06 3:12:16,netral,nert,netral
574,Awal2 enak aja ya.. dengerin smbil buka aplikasi lain. Kayk online shop gt. Lah kesini sini kok sering mati sendiri. Kl dbuat buka aplikasi lain.. kn kesel yam. Hemmmm,3,2023-09-05 8:07:36,netral,negatif,netral
576,"Platform untuk mendengarkan podcast (pure podcast) dengan kualitas suara yang bagus, dan hampir semua jenis podcast ada disini",4,2023-09-05 3:28:42,netral,positif,netral
578,Kok jadi banyak iklan nya sih,3,2023-09-04 3:43:03,netral,netral,netral
579,peredaran puncaknya menyelera dan dapat membuat seolah baru sama seperti keinginan berpendapat,5,2023-09-03 23:05:51,netral,netral,netral
580,"Aseek dengerin, cerita dan podcast disini , sangat menyenangkan dengan kualitas audio yang baik",5,2023-09-03 6:08:02,netral,positif,netral
582,perpaduan hiburan dan teknologi mutakhir,5,2023-09-02 20:04:53,netral,netral,netral
585,"Seneng , bisa nambah ilmu, jadi tau",5,2023-08-31 12:28:27,netral,netral,netral
590,Aplikasi ny sering bgt stuck di logo noice gk bisa msk,2,2023-08-30 5:03:18,netral,netral,negatif
591,Mau dengerin podcast bagus dikit harus bayar,2,2023-08-30 0:32:14,netral,netral,netral
592,"Tingkat kan Fitur Video nya, Dengan Tampilan Landscape, Konfirmasi 🙏❓",5,2023-08-29 15:53:47,netral,netral,netral
595,"Semakin lama, makin menjadi durasi iklannya. Baik itu di awal konten maupun di akhir, dipaksa buat nonton dua iklan yang total durasinya hampir semenit. Its okay kalo iklan jadi salah satu sumber pendapatan dan sarannya iklan mungkin bisa diselipin di tengah konten. Tapi kalo tetap begini, bisa ngaruh kenyamanan pendengar dan lama kelamaan bukan gk mungkin Noice ditinggalkan, sebab kalah kualitas dengan Spotify.",1,2023-08-29 4:37:18,netral,netral,netral
599,"Nutup pemutaran sebelumnya ga bisa, mau muter konten baru ,yang play malah konten sebelumnya aneeehhhhhh",1,2023-08-28 11:54:27,netral,negatif,netral
601,"Respon admin cpet ketika ad kluhan, aplikasi pas buat nmenin krja ataupun nyantai...",5,2023-08-28 8:52:52,netral,netral,netral
602,"Mantap.. konten²nya memuaskan, apalagi VIP nya seru untuk didengar, saran dong untuk podcast Musuh Masyarakat diperbanyak lagi versi videonya min hehe",5,2023-08-27 23:34:55,netral,netral,netral
603,"Ini aplikasi versi webnya sangat jelek, dan susah banget buat di gunakan kenapa tidak dibenerin versi webnya? Tidak semua orang mendengarkan dengan gadget apalagi orang"" kantoran yang hampir seharian di depan komputer, kalo masalah akun kan tinggal login tapi kenapa tidak lancar versi webnya. Saya harap cepat di benerin versi webnya dan gampang di gunakan.",1,2023-08-27 12:19:23,netral,netral,netral
604,Noice cuma buat dengerin trio kurnia,5,2023-08-26 14:43:15,netral,netral,netral
606,cinta bangettt sama aplikasi inii🫠🫠🫠,5,2023-08-26 4:50:02,netral,netral,netral
607,Konten vip yg beli pakek koin tolong di hilangin dong bro.,1,2023-08-26 4:49:49,netral,netral,netral
611,Kenapa jadi ribet gini perasaan dulu gak gini,1,2023-08-25 20:52:18,negatif,netral,netral
612,Sekalian aja ni jadiin aplikasi berbayar apa2 harus bayar yang jelek2 baru di gratisin dasar kapitalis,1,2023-08-25 12:49:24,netral,netral,netral
613,"ini seru sih sumpah tapi untuk masukin namanya susah banget, aku kasih 5 bintang deh",5,2023-08-25 12:40:30,negatif,netral,netral
615,Download dan install Noice cuma buat denger Trio Kurnia,5,2023-08-24 19:51:37,netral,netral,netral
617,Entah kenapa akhir2 ini tiap dengerin podcast audio selalu mati sendiri dan harus di play lagi play lagi manual. Cape bgt !!,1,2023-08-24 13:08:40,netral,negatif,netral
618,"Parah noice update terus, maksa lagi gak bisa tunda. Aplikasi makin berat",1,2023-08-24 12:38:44,netral,netral,negatif
