,clean_review,pengalaman visual,fungsi,performa dan stabilitas
301,podcast hiburan sumber informasi terbaik,netral,netral,netral
302,seruuuu sekali cerita podcastnya bener² cocok menemani luang,netral,netral,netral
303,bagus ini mudah dengar radio mantab,netral,positif,netral
304,membership supaya podcast murah,netral,netral,netral
305,unduh mudah mudahan bagus,netral,netral,netral
306,seperti ini moi bi nat,netral,netral,netral
307,memaksa close pemutarnya restart playing,netral,negatif,negatif
308,aman laah dengarkan radio kalau di bus dan lain lain podcastnya yang lucu-lucu,netral,netral,netral
309,aplikasi tidak jelas sudah beli konten premium iklannya,netral,negatif,netral
310,rumit tampilannya enak youtube simpel pamit,negatif,netral,netral
311,𝘣𝘶𝘨 fitur fitur 𝘥𝘰𝘸𝘯𝘭𝘰𝘢𝘥 konten konten yang diunduh seringkali tidak diputar mohon diperbaiki,netral,negatif,netral
312,teman iseng teman lagi buat,netral,netral,netral
313,video podcast tidak diplay,netral,negatif,netral
314,aplikasi the terbaik menyediakan konten konten keren,netral,netral,netral
315,terima kasih aplikasi noice,netral,netral,netral
316,bagaimana langganan noice premium tidak klik,netral,negatif,netral
317,mahal iklannya lagi sekarang,netral,netral,netral
318,kontenya saja keren apa lagi ada fitur video sekarang,positif,positif,netral
319,bagus sekali aplikasi nya takut hal favorit,netral,netral,netral
320,eror aplikasi lancar,netral,netral,negatif
321,dengarkan podcast 5 detik langsung auto eps iklan tidak diskip lazada bahagia lazada bahagia kirim cepat gratis ongkos kirim uangmu lazada bikin bahagia bahagia b ngs t,netral,netral,netral
322,sudah langganan premium saat perpanjang langganan bingung seperti ini ya bagaimana,netral,netral,netral
323,kapitalis bayar yang tidak worth itu lebih baik langganan vidio menonton liga inggris,netral,netral,netral
324,pokoknya bintang malas menulis tahu bintang,netral,netral,netral
325,bngst kontrak lambemu tidak diperpanjang ingat bikin kamu besar bngst,netral,netral,netral
326,halo noice beli coin masuk masuk akun kendala di mana ya,netral,netral,netral
327,mantap fiturnya pilihan informatif,netral,positif,netral
328,sistemnya tidak dibikin berlangganan saja mahal kalau pakai koin,netral,netral,netral
329,platform sepi kebanyaan iklan kntl,netral,netral,netral
330,suka sekali aplikasi tolonglah dengarkan episode bayar pakai coin sudah begitu harga koin mahal sekali,netral,netral,netral
331,gila itu keren sekali asyik cinta kamu penuh noice,netral,netral,netral
332,seru sebenarnya,netral,netral,netral
333,setuju sekali nemenin hari2 stay pada noice,netral,netral,netral
334,tidak unduh lancar saja tidak menunggu tidak jalan sudah dm respons,netral,negatif,netral
335,aplikasi pengantar tidur bagus sekali,netral,netral,netral
336,konten vip ke depannya pakai koin langsung biaya bulanan kalau,netral,netral,netral
337,benar-benar kebanyakan iklan ingin mencari salah eps trio kurnia saja dengar iklan banyak perlu,netral,netral,netral
338,seruuu rebahan dengarkan cerita horor,netral,netral,netral
339,suka mendengarkan aplikasi bagus sekali tidak tahu susah sekali bikin audiogram nya ya,netral,netral,netral
340,iklan ganggu tidak seperti,netral,netral,netral
341,unduh gara gara lihat syifa angga,netral,netral,netral
342,keeren sekali ini dengarkan di mana saja terus juga lucu-lucu,netral,netral,netral
343,awal-awal enak saja ya dengarkan sambil buka aplikasi kayk daring shop begitu ke sini mati kalau dibuat buka aplikasi kan kesel ya hemmmm,netral,negatif,netral
344,platform mendengarkan podcast pure podcast kualitas suara bagus jenis podcast,netral,positif,netral
345,iklan nya sebenarnya,netral,netral,netral
346,peredaran puncaknya menyelera berpendapat,netral,netral,netral
347,asyik dengarkan cerita podcast menyenangkan kualitas audio,netral,positif,netral
348,perpaduan hiburan teknologi mutakhir,netral,netral,netral
349,senang bertambah ilmu tahu,netral,netral,netral
350,aplikasi nya sekali buntu logo noice tidak masuk,netral,netral,negatif
351,dengarkan podcast bagus sedikit bayar,netral,netral,netral
352,tingkat fitur video nya tampilan landscape konfirmasi,netral,netral,netral
353,durasi iklannya konten dipaksa menonton iklan total durasinya semenit ini okay kalau iklan salah sumber pendapatan sarannya iklan diselipin konten kalau berpengaruh kenyamanan pendengar tidak noice ditinggalkan kalah kualitas spotify,netral,netral,netral
354,nutup pemutaran tidak berputar konten putar konten aneeehhhhhh,netral,negatif,netral
355,respons admin cpet ada kluhan aplikasi saat nmenin krja nyantai,netral,netral,netral
356,mantap konten²nya puas vip nya seru didengar saran podcast musuh masyarakat diperbanyak versi videonya admin tertawa,netral,netral,netral
357,aplikasi versi webnya jelek susah sekali tidak dibenerin versi webnya tidak orang mendengarkan gawai orang kantoran seharian komputer kalau akun tinggal masuk tidak lancar versi webnya harap cepat perbaiki versi webnya mudah,netral,netral,netral
358,noice dengarkan trio kurnia,netral,netral,netral
359,cinta sekali aplikasi ini,netral,netral,netral
360,konten vip yang beli pakai koin tolong menghilangkan teman,netral,netral,netral
361,rumit seperti ini perasaan tidak seperti ini,negatif,netral,netral
362,saja ini jadikan aplikasi berbayar apa-apa bayar jelek-jelek gratisin dasar kapitalis,netral,netral,netral
363,seru sebenarnya sumpah masukkan namanya susah sekali kasih 5 bintang deh,negatif,netral,netral
364,unduh instal noice dengar trio kurnia,netral,netral,netral
365,akhir2 dengarkan podcast audio mati putar putar manual lelah sekali,netral,negatif,netral
366,parah noice pembaruan maksa tidak tunda aplikasi berat,netral,netral,negatif
367,memaksa close terus ya buka aplikasi berat tidak seperti ini selanjutnya pembaruan tolong diperbaiki,netral,netral,negatif
368,berbayar mahal sekali deh terharu,netral,netral,netral
369,unduh audio dengarkan malam tetapi tidak tahu lihat downloadnya sederhana terus kasih tema aplikasi nya fitur downloadnya kasih profil namanya msukin folder unduh an dengan nma unduh an beda begitu unduh an nya,negatif,netral,netral
370,room langsung tidak ya tidak muncul tombolnya,negatif,netral,netral
371,log ini akun podcast2 yang didownload hilang,netral,netral,netral
372,1 tampilan nya tidak familiar rumit 2 kalau sebenarnya kontennya vip dibikin eksklusif saja konten gratisannya kasih sample 2 menit penuh 3 dibikin seperti ott berlangganan 4 kasih batas pemutaran tidak bayar 1 jam 5 putar log ini scan wajah supaya dengarkan komentar tidak,negatif,netral,netral
373,keseluruhan podcaster bagus saat ke sini podcast podcast asyik bungkus sudah tidak mengerti noice dibawa ke mana dahlah spotify memang benar oh ya terima kasih 4 hiburan nya,netral,netral,netral
374,bagaimana masuk akun noice ya tidak sengaja klik akun,netral,netral,netral
375,𝐛𝐚𝐠𝐮𝐬𝐬 𝐬𝐢𝐜𝐡 𝐜𝐮𝐤𝐮𝐩 𝐥𝐮𝐦𝐚𝐲𝐚𝐧 𝐨𝐤,netral,netral,netral
376,rip noice podcast favorit aku bungkus terima kasih hiburan 4 terakhirnya spotify terbaik,netral,netral,netral
377,aplikasi keren benaran kumpul konten audio podcast musik radio sampai buku audio,netral,netral,netral
378,konten nya seru pokoknya aplikasi terbaik semoga aplikasi berkembang sukses,netral,netral,netral
379,aplikasi nya pakai sudah notip maaf eror aplikasi apa cuk,netral,netral,negatif
380,bintang 1 entar ckh sudah rilis kasih bintang5,netral,netral,netral
381,ingin menonton mamat melawan abdur kalau programnya bagus bagus bintangnya deh,netral,netral,netral
382,bagus tetapi saat degar tidur iklan langsung kaget saat pakai henset bikin jantugan,netral,netral,netral
383,buka aplikasi noice berat sekali lambat hasil unduh tidak putar kasih bintang 5 turun deh 4 mohon perbaiki supaya pembaruan terima kasih,netral,netral,negatif
384,iklan nya kurangi terima kasih,netral,netral,netral
385,top naik coin gagal,netral,netral,netral
386,pacdcast kalau dengerkan pakai koin kalau biaya top naik koin nya murahin kalau cek ini harian yang hadiah koin juga,netral,netral,netral
387,suka,netral,netral,negatif
388,cerita audio series nya bagus hidup tidak monoton saran dubbing tidak berlebihan olah karena terkadang apa sebenarnya seperti ini begitu disesuaikan saja skrip karena fokusnya didengar ditonton,netral,netral,netral
389,serunya podcast noice muantap rek,netral,netral,netral
390,salah podcast terbaik indonesia,netral,netral,netral
391,suka keren habis pokao nya,netral,netral,netral
392,pokoknya cocok sekali orang yang suka ngedengerin podcas2 berbentuk audio seru sekali konten2nya,netral,netral,netral
393,tidak sebagus,netral,netral,netral
394,mantap jiwa indonesia merdeka merdeka merdeka,netral,netral,netral
395,video terbaru vip,netral,netral,netral
396,pembaruan eror mendengarkan audiobook,netral,negatif,negatif
397,bagus buatan lagu nya suaranya bagus sekali,netral,netral,netral
398,dengarkan tiba-tiba tidak sinyal bagus tidak putar saat coba ee tidak putar podcast yang sayang langganan tolong ya maaf bintang 2 ya,netral,negatif,netral
399,membutuhkan sponsor mengembangkan usaha tidak podcast,netral,netral,netral
400,the terbaik pandeka dan trio kurnia kurrr kurrrr kurrrr,netral,netral,netral
401,senang sekali sama crita horor nya,netral,netral,netral
402,mantap mengisi hariku konten yang didengar banyak konten hiburannya,netral,netral,netral
403,noice mengadakan fitur unduh podcast kartu sekolah dasar dong penyimpanan internal penuh ini oh ya fitur noice premiumnya keren,netral,netral,netral
404,kapan-kapan kasih bonus koin,netral,netral,netral
405,jadi tidak bisa dibuka padahal deh instal ulang berkali2,netral,netral,negatif
406,terima kasih sudah tidur dengarkan cerita semuga sehat amin,netral,netral,netral
407,podcast konten berbayar,netral,netral,netral
408,bagaimana sebenarnya bikin premium entar kalau deh bintangnya dinaikin,netral,netral,netral
409,bagus sekali ini aplikasi mati dari aplikasi disuruh bayar ikut bayar volume kencang iklan tetap didengerin kuping sakit jadi mati dari aplikasi hebat hebat kalau ke depannya tidak dibuka begitu aplikasinya supaya seru,netral,negatif,negatif
410,podcast seru menyenangkan,netral,netral,netral
411,aplikasi nyaman,netral,netral,netral
412,dengarkan musik radio tidak nyalain tolong baikin,netral,negatif,netral
413,kontennya menarik recomended bugs nya ganggu lag kadang eror sampai tidak diapa apai mohon diperbaiki,netral,netral,negatif
414,sudah tidak semenarik konten vip tidak berbobot beli koin,netral,netral,netral
415,konten yang beli kenapa banyak yang kevtutup,netral,netral,netral
416,pakai uang sekarang tertawa,netral,netral,netral
417,eror autoplay audiobook loncat episode setel ep 1 langsung autoplay episode 3 aneh sekali,netral,negatif,netral
418,tidak fitur video,netral,netral,netral
419,mati suara iklan keras dengarkan podcast isi top naik coin tidak sebagus,netral,negatif,negatif
420,aku beli noice premium paket bulanan 150 koin tetapi membuka 3 podcast sudah tidak beli paket noice premium 4 harian sudah tidak,netral,netral,netral
421,masuk tidak kunjung kode otp ya,netral,negatif,netral
422,tidak sudah beli premium konten vip tidak diakses,netral,negatif,netral
423,pembaruan iklannya sekali tolong kembalikan noice yang,netral,netral,netral
424,seperti ini sekali kalau sudah laku semenjak fitur vip ya kali sudah dengar pakai kuota bayar pakai uang sumpah kecewa sekali sebenarnya noice maaf cari uang terima kasih covid sudah nemenin ingin langganan noice sudah tidak asyik,netral,netral,netral
425,bagus sudah saja bingung mengomong intinya ya bagus ya,netral,netral,netral
426,iklan tidak bisa lewati tekan apaapa iklan,netral,netral,netral
427,sudah pembaruan versi terbaru tidak bergabung premium kalau buka gembok opsi tidak sudah refresh berulang ulang tetap saja muncul opsi bergabung premiumnya,netral,netral,negatif
428,ke sini ke sana arah tujuan noice hiburan gratis mengisi kekosongan hiburan berbayar tujuan menghibur masyarakat menguras kantong masyarakat noice memang fokus sekali cari cuan sampai sampai melupakan tujuan kasih contoh konten musuh masyarakat s1 sampai s4 tidak pakai koin s5 pakai koin noice perlahan lahan musuh masyarakat benaran bagaimana sebegitunya cari cuan,netral,netral,netral
429,talentnya sudah tidak seseru ditambah konten diduitin kalah spotify,netral,netral,netral
430,ke sini iklan,netral,netral,netral
431,enak sekali didenger saat perjalanan supaya tidak gabut,netral,netral,netral
432,servernya perbaiki fakk macet macet terus dengerinnya,netral,negatif,negatif
433,keren menghibur tolong khusus komputer,netral,netral,netral
434,pensiun noice 350 jam mendengarkan alesan parah benar iklan fitur vip bayar puluhan ribu buka 1 episode lebih baik kalau vip bayar buka episode kalau ya rungkad lebih baik kabur spotipi yeey,netral,netral,netral
435,gara² sebenarnya trio kurnia paman vincent paman desta komandan andre aku unduh ini aplikasi,netral,netral,netral
436,enak sekali dengarkan di home store peneman sepi ya peneman tidur ya sukses ya,netral,netral,netral
437,heran wifi lancar tetap saja lag,netral,netral,negatif
438,habis pembaruan malah buffering unduh padahal aku buka yutub dan lain2 lncar2 saja,netral,netral,negatif
439,mantap noice,netral,netral,netral
440,tambahkan stasiun radio makassar ya admin,netral,netral,netral
441,konten berbayar episode terlambat,netral,netral,netral
442,bintang abdur melawan mamat,netral,netral,netral
443,alhamdulillah fitur berlangganan,netral,netral,netral
444,ah noice keren selalu suka dnger trio kurnia,netral,netral,netral
445,bayar kalau dengarkan yang terbaru suck,netral,netral,netral
446,beli paket musmas besoknya tidak,netral,netral,netral
447,noice sebenarnya sudah didownload tidak puter,netral,negatif,netral
448,aplikasi bagus cocok kalangan,netral,netral,netral
449,mahal koin nya susah dijangkau podcast artist yang tidak menarik podcast daerah yang bagus sudah bungkus tersisa berizik yang tidak banyak vip nya berizik bungkus vip tidak mengerti mengapai instal noice,netral,netral,netral
450,siaran nya tidak macet aplikasi yang bersih mudah untuk menjelajahi walaupon pengguna dari indonesia bagus pekerjaan dan itu sebenarnya fantastic,netral,positif,positif
451,rumit pakai koin sekarang,netral,netral,netral
452,akhir² eror bertahan gara² trio kurnia,netral,netral,negatif
453,pengguna aplikasi menghibur kualitas konten suaranya bagus,netral,positif,netral
454,aplikasi podcast terbaik direkomendasikan,netral,netral,netral
455,aplikasi menemani perjalanan depok jakarta,netral,netral,netral
456,cocok sekali aktivitas setiap hari fitur nya ya pokoknya aplikasi memang khusus entertain masyarakat iklan nya bersahabat semoga ke depannya aplikasi ke depannya berkualitas,positif,positif,netral
457,saat unduh dengarkan noice radio ragu takutnya sinyalnya putus2 saat dengarkan puas diperjalanan menghibur thank kamu ya noice,netral,positif,netral
458,aplikasi audio konten bermutu tampilan aplikasi perbaiki pengguna friendly,positif,netral,netral
459,ayolahhh notifikasi nya nyepam sekali sudah disable loh pengaturan aplikasi nya,negatif,netral,netral
460,isinya kebanyakan artis mengobrol tidak ketawa ketiwi saja tidak pelajaran yang ambil,netral,netral,netral
461,tidak masuk karena daftar saja deh akun yang gagap teknologi,netral,netral,netral
462,keren aplikasi nya semangat kakak,netral,netral,netral
463,top naik berhasil coin tidak bertambah,netral,negatif,netral
464,bagus tidur tolong iklannya kasih tidak dongk,netral,netral,netral
465,eps audioseries gratis dengarkan pakai koin kadang memutar podcast buffering tidak,netral,negatif,netral
466,aku suka aplikasinya tidak masuk ya tertawa habis pembaruan tidak masuk via facebook,netral,negatif,netral
467,gara gara menonton musuh masyarakat youtube lucu unduh noice menonton penuh nya bayar weelehhh,netral,netral,netral
468,sudah pembaruan nge eror tidak kebuka giliran hapus data eh log ini file2 hasil unduh hilang awal-awal itu eror seperti ini tidak berpengaruh hasil unduh hapus data,netral,netral,negatif
469,kurangi bintang podcast favorit sudah bungkus,netral,netral,netral
470,bayar atau tidak sebenarnya sudah bagus,netral,netral,netral
471,aplikasi sejuta eror bentar_bentar ngebug servernya perlu bagusan server zeus hadeuhh,netral,netral,negatif
472,4 star dahulu ya belum di unduh google tv,netral,netral,netral
473,bagus aplikasi tidak terbuka mohon bugnya pasti admin,netral,netral,negatif
474,kualitas audionya sudah bagus buffering saat cek koneksi lancar lancar saja mohon almaighty noice pasti secepatnya,netral,netral,negatif
475,sayang sekali tidak bisa putar prfm bandung,netral,netral,netral
476,dengarkan tidur,netral,netral,netral
477,suka sekali aplikasi risih saat enak enaknya dengar eh berhenti ponsel ku lambat kawan begitu,netral,negatif,negatif
478,ku kasih bintang 4 saja deh karena masih yang sedikit menurutku,netral,netral,netral
479,bagus sekali konten audionya berharap diperbanyak konten² pengembangan kesehatan fisik dan mental konten spritual membantu memperbaiki kondisi penyakit kronis generasi milenia,netral,positif,netral
480,kalau langganan saja episode kamu bayar bintang 1 dahulu,netral,netral,netral
481,bosan buka aplikasi berbayar mendengarkan podcast lamaa,netral,netral,netral
482,memuat terus saat dengarkan podcast yang eps jaringan aman,netral,negatif,negatif
483,noice aplikasi musik spotify aku tidak aku aplikasi menonton musik seperti spotify noice mendekati podcast tolonglah dukung musik aplikasi,netral,netral,netral
484,bagus sekali ini ya tolong sekali swlesai iklan pindah episod tolong sekali ya,netral,negatif,netral
485,noicer kapitalis,netral,netral,netral
486,ponsel suka memaksa close tolong betulin ya,netral,netral,negatif
487,volume iklan sponsor bikin telinga sakit niatnya dengarkan podcast menenangkan dibikin kaget maaf2 ini tidak tuli volume tidak perlu sekencang,netral,netral,netral
488,berat mengetik langsung room saja berat sekali sampai ponsel panas upgrade itu jelek maaf ya malas pakai noice,netral,netral,negatif
489,sudah tidak seru kebanyakan vip tidak seperti dahulu,netral,netral,netral
490,bermasalah tau2 podkesnya berenti tidak dilanjutin aplikasiharus ditutup dibuka supaya ngelanjutin pagi itupun kadang mengulang,netral,negatif,negatif
491,server tolong dibenerin sinyal penuh menonton ytb ya dengarkan noice macet macet,netral,negatif,negatif
492,konten nya bagus bagus pause kalau main permainan,netral,negatif,netral
493,aplikasi bagus menyenangkan,netral,netral,netral
494,banyak iklan beli vip,netral,netral,netral
495,unduh hanya dengar cerita horor moybinad hahahahah seru habis,netral,netral,netral
496,podcasternya tidak jelas tidak jelas terdengar asyik berisik tetap spotify terbaik,netral,netral,netral
497,bagus sekali eror terhenti mendengarkan offline ter unduh terkadang mendengarkan out aplikasi buka ulang aplikasi,netral,negatif,netral
498,iklan nya mengganggu ini tolong fitur premium bulanan,netral,netral,netral
499,crash ditengah-tengah putar podcast,netral,negatif,negatif
500,bagus kecuali sistem beli beli episode saran sistem langganan saja,netral,netral,netral
501,kalau dari aplikasi terus buka aplikasi podcastnya berhenti masuk mengulang masa ya harus dipantengin tolong perbaiki bugnya,netral,negatif,netral
502,aneh tulisan ya fitur video penuh versi tidak video ya,negatif,netral,netral
503,tambahkan android tv pliss,netral,netral,netral
504,ke sini komersial sekali yaela segini aku ingin dengar generasi fm pasti dengar iklan berulang ulang membosankan tidak begitu begitu kalau ingin podcast pasti uang 20an ribu woy podcast yutube itu banyak gratis noice sudah itu kapitalis sekali,netral,netral,netral
505,eror 1 radio tidak diputar contoh voks radio jogja 2 memutar radio tiba-tiba ganti podcast 3 aplikasi tutup terkadang widget pemutar tidak hilang versi terima kasih teman aku lop ayo,netral,negatif,negatif
506,pembaruan aneh sinyal menonton aplikasi lancar noice ngelag unduh offline tidak aneh sekali,netral,negatif,negatif
507,konten episode pakai koin kalau memang inginnya begitu lebih baik langganan bulanan bayar akses spotify premium,netral,netral,netral
508,coba saja entar kalau nyaman aku jadikan aplikasi favorit kalau sampai eror bikin ngedelay ngecrash ngeleg ponsel aku aku uninstall,netral,netral,netral
509,aplikasi bagus sekali ke sini konten berbayar jadi unduh kapitalis sekali sialan,netral,netral,netral
510,aplikasi yang menemani tidur,netral,netral,netral
511,ya aplikasi bermanfaat positive pengembangan,netral,netral,netral
512,bingung mencari podcast ingin didengar tidak ya,netral,netral,netral
513,fitur langsung nge eror mohon perbaiki,netral,negatif,negatif
514,tlg diperbaiki tiba mati dengarkan podcast,netral,netral,negatif
515,cerita sat mendengar ya saran juga koin kurangi hitam mahalnya ya,netral,netral,netral
516,maaf ini pasti tidak notifikasi nya sudah appnya notifnya,negatif,netral,netral
517,iklannya tolong laah menyebalkan ganti episode saja langsung iklan sudah begitu episode nya sudah diplay jadi langsung keganti iklan mohon diperbaiki menyebalkan,netral,netral,netral
518,admin ya tiba² berhenti begitu koneksinya lag berpengaruh,netral,netral,negatif
519,pembaruan fitur sinkron android tv seperti sebenarnya ijo,netral,netral,netral
520,unduh dengarkan podcastnya takut hal,netral,netral,netral
521,mati terus kalau ulang lagi dari kenapa ya pembaruan,netral,negatif,negatif
522,mantap suka aplikasi,netral,netral,netral
523,bag pemutaran berhenti loding terulang sinyal bagus,netral,netral,negatif
524,1 gamasalah iklannya 30dtk 1mnt tolong volumenya dikecilin 2 mengira aku saja tetapi banyak juga yang mersakan yang podcast tiba² buffering tidak jelas tiba² kepotong episode yang tidak bisa diplay koneksi aman² saja tidak nyaman sekali dengerinya,netral,negatif,netral
525,unduh noice dengarkan podcast sus rini tertawa,netral,netral,netral
526,tidak kode otp nya,netral,netral,netral
527,begitu sudah beli vip masak terbatas dengarkan nya tidak perlu aneh aneh sat,netral,netral,netral
528,pembaruan berhrnti,netral,netral,negatif
529,ke sini aneh audio lag berhenti lewati konten konten habis pembaruan tidak bagus iklan saja aduh haduuuuh kocak,netral,negatif,negatif
530,fitur matikan push notifications tidak sudah pembaruan keversi yang berharap diperbaiki saja spam push notifikasi menggangu,negatif,netral,netral
531,saat youtube promosinya gembar gembor aplikasi minus suka berhenti saat dengarkan audio,netral,negatif,negatif
532,tidak tahu aplikasi suka mati ditengah jalan yang pengalaman yang,netral,netral,negatif
533,suara iklannya kecilin bangsaaaaat besar sekali suaranyaaa,netral,netral,netral
534,noice terbalikk aku suka tidak sekali keren aplikasi itunya,netral,netral,netral
535,eror memutar iklan,netral,netral,negatif
536,kurangi bintang memuat interfacenya,netral,netral,negatif
537,seru tolong iklannya suaranya dikecilkan fokus mendengarkan podcast suara yang tergolong muncul iklan suara,netral,netral,netral
538,tidak ini aplikasi,netral,netral,netral
539,bagus suka berhenti,netral,netral,negatif
540,sekarang dengar 1 vid bayar hadeh coba saja paket perbulan begitu supaya dengar yang,netral,netral,netral
541,ingin kasih bintang sepuluh suka podcast culik alam suka sekali menonton malam malam dengarkan podcast nya,netral,netral,netral
542,ke sini cari referensi podcast buset isi nya kebanyakan iklan lebih baik spotify tidak iklan nya,netral,netral,netral
543,jelek lag jaringan bagus,netral,netral,negatif
544,setiap hari pakai memutuskan uninstall saja kdg nge lag padahal jaringan bagus saja iklannya terus2an muncul,netral,netral,negatif
545,tolong volume iklannya kecilin kaget aku iklan lah satu2nyaaaa cempreeeeeengggg,netral,netral,netral
546,suara iklan telkomselnya kencang sekali,netral,netral,netral
547,juga sangat paywall contents sekarang a big disappointed sebagai an tua listener dari ini podcast,netral,netral,netral
548,mati berhenti dengarkan noice dibenerin appsnya,netral,netral,negatif
549,kasih fitur sort podcast yang sudah unduh plisss,netral,netral,netral
550,aplikasi ngebug dengarkan mati,netral,netral,negatif
551,sudah dengarkan noice versi web komputer laptop terima kasih kerja keras nya noice di dengarkan noice khawatir ponsel lowbat kerja _ semoga sistem log ini unduh versi web mudah ke depannya,netral,netral,netral
552,bagaimana ya sudah sebulan aplikasi tidak buka,netral,netral,negatif
553,admin pembaruan malah berhenti saat diplay mengulang tolong cepat diperbaiki ganggu sekali,netral,netral,negatif
554,suka mati ya lagi asyik dengar podcast mati sekali begitu,netral,netral,negatif
555,suara iklan tidak sinkron suara podcast nya suara iklan keras kaget repot turunin volume,netral,netral,netral
556,bagaimana sebenarnya kakak apdet kalau layar terkunci mati ya noice tidak seperti mohon diperbaiki,netral,negatif,netral
557,apalah aplikasi bikin keder habis unduh dihapus gegara buka channel yang tidak bisa2 mendingan lihat noice yutup saja daahh,netral,negatif,netral
558,mengira vidionya suara,netral,netral,netral
559,admin gwa tidak unduh pakai data,netral,negatif,netral
560,noice aplikasi podscast terbaik debat abdur mamat seru,netral,netral,netral
561,bagus unduh musuh masyarakat season 1 sampai,netral,netral,netral
562,sebenarnya aplikasi nya bagus saat asyik dengarkan berhenti gara gara jaringan lag aplikasi tidak ada lag tolong cek koneksi nya bikin jengkel saja,netral,netral,negatif
563,benar berbayar heeiii unduh noice karena musmas vip uninstall noice sedang di jalan reuploader yutup tidak peduli,netral,netral,netral
564,memaksa close saat dibuka pembaruan versi terbaru,netral,netral,negatif
565,beli konten vip kontennya dihapus lawak ini noice,netral,netral,netral
566,iseng unduh noice gara gara yout menjadi tidak relevan bunga konten noise onad hesti sayangnya sudah tidak perpanjang tolong reguler kalau supaya tidak bosan menunggu,netral,netral,netral
567,ya pulas tidurnya,netral,netral,netral
568,nge eror terus masuk memaksa close,netral,netral,negatif
569,setalah pembaruan andorid 13 sudah tidak maju mundurin notif,negatif,netral,netral
570,tolong kembalikan musuh masyarakat season 1 3 vip tidak,netral,netral,netral
571,iklan terus vip tertawa,netral,netral,netral
572,penarikan diamond tolong percepat 5 dana kunjung masuk rekening,netral,negatif,netral
573,instal noice hanya ingin dngerin musuh masyarakat sebenarnya ya sampai aku rekomendasi sama teman instal noice tetapi sekrg sudah pakai koin vip isi a seperti dngerin jokes bpak yang lagi ronda ciiaaaaaaaaa,netral,netral,netral
574,noice keren diisi media konten bagus pekerjaan noice,netral,netral,netral
575,dengarkan cerita hororr memang seru sekali cepat unduh mendukung noice,netral,netral,netral
576,yang berkata aplikasi berhenti ponsel kentang,netral,netral,positif
577,device samsung sekali crash appnya,netral,netral,negatif
578,5 bintang nya sekeren,netral,netral,netral
579,unduh menunggu terus admin,netral,netral,netral
580,juga sangat ada 30 sec unskipable ada everytime,netral,netral,netral
581,kadang putar dipause tidak menit,netral,negatif,netral
582,vip tidak ramah pecinta gratisan uninstall pindah spotify,netral,netral,netral
583,sebenarnya vip tidak seperti kebanyakan aplikasi pilihannya saja iklan premium sok²an beda,netral,netral,netral
584,dengerkan trio kurnia tidak unduh noice terima kasih sudah hadirkan 3 pelawak terlucu dengerkan gratis noice keren trio kurnia kur kur kurrr,netral,netral,netral
585,sudah mata uang aplikasi sudah beli vip tetapi didengar episode berlaku 1bulan memang berlaku mendengarkan yang vip bagus pindah spo,netral,netral,netral
586,enak dengarkan eh mati sudah instal ulang tetapi tolong perbaiki ya aplikasinya menghibur,netral,negatif,negatif
587,musmas vip sebulan 2x lewati jokes bapak2 uninstal noice spotify lebih baik beli lucuflix supaya berbayar tetapi permanen satttttt,netral,netral,netral
588,bagus menambah ilmu,netral,netral,netral
589,aplikasi bagus didengar jalan-jalan pokoknya enak sekali dengar,netral,netral,netral
590,sumpah deh vipnya annoying sekali deh itu iklan molo buka episode,netral,netral,netral
591,tolong turunkan harga episode vip,netral,netral,netral
592,suka memuat terus 15 detik cerita eh memuat loadingnya tidak tahu,netral,netral,negatif
593,ya noice banet memuat lag jaringan bagus semoga cepat perbaiki eror nya,netral,netral,negatif
594,bagus mudah habis kuota saja kalau dengar,netral,negatif,netral
595,kasih bintang 2 saja deh unduh tidak pakai coin gratis kalau dengarkan pakai coin dengarkan nya uud ujung² nya uang,netral,netral,netral
596,suka berhenti loncat menit episode kalau pause iklan terus sempat sinyal yang jelek kalau pakai aplikasi saja mengalami juga tolong perbaikiii,netral,negatif,negatif
597,tolong dengarkan podcast buka aplikasi dahulu mati,netral,negatif,netral
598,aplikasi nya habis pembaruan ke sini ke sana buka intro aplikasi nya butuh menit masuk hadeuuhhh,netral,netral,negatif
599,maaf kasih bintang 4 aneh jaringan lancar menonton reels instagram video tiktok lancar lancar saja lihat cerita wa lancar dengarkan noicenya ngelag jaringannya lancar,netral,negatif,negatif
600,bagus orang yang suka dengar podcast menarik,netral,netral,netral
601,saya kasih 4 bintang unduh ini,netral,netral,netral
602,sebenarnya kok sekali iklan dahulu tidak seperti ini deh saat sudah saja kebanyakan iklan tolong membanyaki iklan dengarkan podcast iklan,netral,netral,netral
603,maaf sekali iklannya kadang eror iklannya ngeganggu podcast saat didenger,netral,negatif,netral
604,suka aplikasi kerja dengarkan jalan dengarkan top naik ilklanya muncul terbaik saat promo saja seperti saat kampa e,netral,netral,netral
605,iklan muluu iklannya sekali tidak lewati saat sudah unduh data internet hidup masih saja iklan,netral,netral,netral
606,asli sebenarnya aku enjoy sekali dengernya postcast scarythings asli sebenarnya serunya malas dengar lagu,netral,netral,netral
607,radionya radio tidak radio moderen keren noice,netral,netral,netral
608,suka sekali aplikasinya seru malam dengarkan,netral,netral,netral
609,unduh ingin dengarkan cerita horor majelis ulama indonesia bi nad,netral,netral,netral
