,user_review,pengalaman visual,fungsi,performa dan stabilitas,case_fold,remove_punctuation,remove_whitespace,stopword_removal,normalize
144,tiba² 2024 malah makin LEMOT padahal hanya sekedar buka aplikasi. terpaksa aku uninstall terus install lagi,netral,netral,negatif,tiba² 2024 malah makin lemot padahal hanya sekedar buka aplikasi. terpaksa aku uninstall terus install lagi,tiba² 2024 malah makin lemot padahal hanya sekedar buka aplikasi  terpaksa aku uninstall terus install lagi,tiba² 2024 malah makin lemot padahal hanya sekedar buka aplikasi  terpaksa aku uninstall terus install lagi,tiba² 2024 lemot sekedar buka aplikasi terpaksa uninstall install,tiba² 2024 lambat sekadar buka aplikasi terpaksa uninstall instal
145,"sudah beli beberapa yg VIP (musmas & ruang 28), awal2 lancar jaya, sekarang nggabisa di play. pas mau play malah nge play judul lain",netral,negatif,netral,"sudah beli beberapa yg vip (musmas & ruang 28), awal2 lancar jaya, sekarang nggabisa di play. pas mau play malah nge play judul lain",sudah beli beberapa yg vip  musmas   ruang 28   awal2 lancar jaya  sekarang nggabisa di play  pas mau play malah nge play judul lain,sudah beli beberapa yg vip  musmas   ruang 28   awal2 lancar jaya  sekarang nggabisa di play  pas mau play malah nge play judul lain,beli yg vip musmas ruang 28 awal2 lancar jaya nggabisa play pas play nge play judul,beli yang vip musmas ruang 28 awal-awal lancar jaya nggabisa putar saat putar nge putar judul
146,"Pengen dengerin audio ,bukan nonton video",netral,netral,netral,"pengen dengerin audio ,bukan nonton video",pengen dengerin audio  bukan nonton video,pengen dengerin audio  bukan nonton video,pengen dengerin audio nonton video,ingin dengarkan audio menonton video
147,Suka banget dengerin podcast moybi,netral,netral,netral,suka banget dengerin podcast moybi,suka banget dengerin podcast moybi,suka banget dengerin podcast moybi,suka banget dengerin podcast moybi,suka sekali dengarkan podcast moybi
148,Padahal content nya Bagus² tapi sayang loading nya lama banget.,netral,netral,negatif,padahal content nya bagus² tapi sayang loading nya lama banget.,padahal content nya bagus² tapi sayang loading nya lama banget ,padahal content nya bagus² tapi sayang loading nya lama banget,content nya bagus² sayang loading nya banget,konten nya bagus² sayang memuat nya sekali
149,"Dulu saya insyaallah NOICE karna ada Coki-Muslim, setelah mereka gak bareng lagi NOICE saya uninstall, sekarang install lagi karna suka sama Daddy Issues",netral,netral,netral,"dulu saya insyaallah noice karna ada coki-muslim, setelah mereka gak bareng lagi noice saya uninstall, sekarang install lagi karna suka sama daddy issues",dulu saya insyaallah noice karna ada coki muslim  setelah mereka gak bareng lagi noice saya uninstall  sekarang install lagi karna suka sama daddy issues,dulu saya insyaallah noice karna ada coki muslim  setelah mereka gak bareng lagi noice saya uninstall  sekarang install lagi karna suka sama daddy issues,insyaallah noice karna coki muslim gak bareng noice uninstall install karna suka daddy issues,insyaallah noice karena coki muslim tidak bareng noice uninstall instal karena suka daddy issues
150,"Kenapa setiap keluar dari aplikasi noice selalu kayak mengulang lagi kontenya, ku kira harus premium ,ternyata sama saja ,sangat mengangu sekali tolong di perbaiki , percuma beli premium",negatif,negatif,netral,"kenapa setiap keluar dari aplikasi noice selalu kayak mengulang lagi kontenya, ku kira harus premium ,ternyata sama saja ,sangat mengangu sekali tolong di perbaiki , percuma beli premium",kenapa setiap keluar dari aplikasi noice selalu kayak mengulang lagi kontenya  ku kira harus premium  ternyata sama saja  sangat mengangu sekali tolong di perbaiki   percuma beli premium,kenapa setiap keluar dari aplikasi noice selalu kayak mengulang lagi kontenya  ku kira harus premium  ternyata sama saja  sangat mengangu sekali tolong di perbaiki   percuma beli premium,aplikasi noice kayak mengulang kontenya ku premium mengangu tolong perbaiki beli premium,aplikasi noice seperti mengulang kontenya ku premium mengangu tolong perbaiki beli premium
151,"Dari awal taunya ini platform audio, harusnya pas buka podcast ya audio jangan langsung video. Mana susah banget mau ganti ke audio. Tolong lah noice kalo buka podcast itu ya diarahin ke audio dulu, kalo video itu pilihan aja. Jadi ga nyaman banget nih apk nya. Karena admin ramah langsung saya ganti jadi bintang 5.",negatif,netral,netral,"dari awal taunya ini platform audio, harusnya pas buka podcast ya audio jangan langsung video. mana susah banget mau ganti ke audio. tolong lah noice kalo buka podcast itu ya diarahin ke audio dulu, kalo video itu pilihan aja. jadi ga nyaman banget nih apk nya. karena admin ramah langsung saya ganti jadi bintang 5.",dari awal taunya ini platform audio  harusnya pas buka podcast ya audio jangan langsung video  mana susah banget mau ganti ke audio  tolong lah noice kalo buka podcast itu ya diarahin ke audio dulu  kalo video itu pilihan aja  jadi ga nyaman banget nih apk nya  karena admin ramah langsung saya ganti jadi bintang 5 ,dari awal taunya ini platform audio  harusnya pas buka podcast ya audio jangan langsung video  mana susah banget mau ganti ke audio  tolong lah noice kalo buka podcast itu ya diarahin ke audio dulu  kalo video itu pilihan aja  jadi ga nyaman banget nih apk nya  karena admin ramah langsung saya ganti jadi bintang 5,taunya platform audio pas buka podcast ya audio langsung video susah banget ganti audio tolong noice kalo buka podcast ya diarahin audio kalo video pilihan aja ga nyaman banget nih apk nya admin ramah langsung ganti bintang 5,tahunya platform audio saat buka podcast ya audio langsung video susah sekali ganti audio tolong noice kalau buka podcast ya diarahin audio kalau video pilihan saja tidak nyaman sekali ini aplikasi nya admin ramah langsung ganti bintang 5
152,Tolong lebihin lah top up ya sangat kureng,netral,netral,netral,tolong lebihin lah top up ya sangat kureng,tolong lebihin lah top up ya sangat kureng,tolong lebihin lah top up ya sangat kureng,tolong lebihin top up ya kureng,tolong lebihin top naik ya kureng
153,"Kenapa tiap buka file download tiba tiba aplikasi ngefreeze abis itu close sendiri, rugi gw dah download bnyak gak bisa distel...",netral,netral,negatif,"kenapa tiap buka file download tiba tiba aplikasi ngefreeze abis itu close sendiri, rugi gw dah download bnyak gak bisa distel...",kenapa tiap buka file download tiba tiba aplikasi ngefreeze abis itu close sendiri  rugi gw dah download bnyak gak bisa distel   ,kenapa tiap buka file download tiba tiba aplikasi ngefreeze abis itu close sendiri  rugi gw dah download bnyak gak bisa distel,buka file download aplikasi ngefreeze abis close rugi gw dah download bnyak gak distel,buka berkas unduh aplikasi ngefreeze habis close rugi aku deh unduh banyak tidak distel
154,"Temen-temen gue belum pada tahu aplikasi Noice, makanya gue download",netral,netral,netral,"temen-temen gue belum pada tahu aplikasi noice, makanya gue download",temen temen gue belum pada tahu aplikasi noice  makanya gue download,temen temen gue belum pada tahu aplikasi noice  makanya gue download,temen temen gue aplikasi noice gue download,teman teman aku aplikasi noice aku unduh
155,Ni mah mau ngabisin duit pebgguna/user masa berbayar cuma mau dengerin satu episode .. setidaknya di beri langganan bukan satu episode podcats harus bayar kontoll,netral,netral,netral,ni mah mau ngabisin duit pebgguna/user masa berbayar cuma mau dengerin satu episode .. setidaknya di beri langganan bukan satu episode podcats harus bayar kontoll,ni mah mau ngabisin duit pebgguna user masa berbayar cuma mau dengerin satu episode    setidaknya di beri langganan bukan satu episode podcats harus bayar kontoll,ni mah mau ngabisin duit pebgguna user masa berbayar cuma mau dengerin satu episode    setidaknya di beri langganan bukan satu episode podcats harus bayar kontoll,ni mah ngabisin duit pebgguna user berbayar dengerin episode langganan episode podcats bayar kontoll,ini itu ngabisin uang pebgguna pengguna berbayar dengarkan episode langganan episode podcats bayar kontoll
156,"Tolong perbaiki auto rotate nta di mode videonya. Terlalu sensitf, miring sedikit langsung rotate",negatif,netral,netral,"tolong perbaiki auto rotate nta di mode videonya. terlalu sensitf, miring sedikit langsung rotate",tolong perbaiki auto rotate nta di mode videonya  terlalu sensitf  miring sedikit langsung rotate,tolong perbaiki auto rotate nta di mode videonya  terlalu sensitf  miring sedikit langsung rotate,tolong perbaiki auto rotate nta mode videonya sensitf miring langsung rotate,tolong perbaiki auto rotate nta mode videonya sensitf miring langsung rotate
157,solusi bengong ga ada kerjaan,netral,netral,netral,solusi bengong ga ada kerjaan,solusi bengong ga ada kerjaan,solusi bengong ga ada kerjaan,solusi bengong ga kerjaan,solusi bengong tidak pekerjaan
158,"Setelah update, kok saya dengerin podcast yg udh di koleksi(downloaded) tapi lemot banget?? Tolong di perbaiki, saya sudah coba segala cara salah satunya hapus chace. Tetap lemot banget",netral,netral,negatif,"setelah update, kok saya dengerin podcast yg udh di koleksi(downloaded) tapi lemot banget?? tolong di perbaiki, saya sudah coba segala cara salah satunya hapus chace. tetap lemot banget",setelah update  kok saya dengerin podcast yg udh di koleksi downloaded  tapi lemot banget   tolong di perbaiki  saya sudah coba segala cara salah satunya hapus chace  tetap lemot banget,setelah update  kok saya dengerin podcast yg udh di koleksi downloaded  tapi lemot banget   tolong di perbaiki  saya sudah coba segala cara salah satunya hapus chace  tetap lemot banget,update dengerin podcast yg udh koleksi downloaded lemot banget tolong perbaiki coba salah satunya hapus chace lemot banget,pembaruan dengarkan podcast yang sudah koleksi downloaded lambat sekali tolong perbaiki coba salah satunya hapus chace lambat sekali
159,Aplikasi podcast Indonesia yg luar biasa 🤩,netral,netral,netral,aplikasi podcast indonesia yg luar biasa 🤩,aplikasi podcast indonesia yg luar biasa  ,aplikasi podcast indonesia yg luar biasa,aplikasi podcast indonesia yg,aplikasi podcast indonesia yang
160,"Bisa bisanya fiture live nya bermasalah dong abis update, bukan makin bagus malah makin ga jelas",netral,negatif,netral,"bisa bisanya fiture live nya bermasalah dong abis update, bukan makin bagus malah makin ga jelas",bisa bisanya fiture live nya bermasalah dong abis update  bukan makin bagus malah makin ga jelas,bisa bisanya fiture live nya bermasalah dong abis update  bukan makin bagus malah makin ga jelas,bisanya fiture live nya bermasalah abis update bagus ga,bisanya fiture langsung nya bermasalah habis pembaruan bagus tidak
161,"Tau aja orang kebanyakan download apk ini karena mau denger konten MUSMAS, ehh di mahalin 100 koin/konten MAAP YA MAHAALLLLLLL",netral,netral,netral,"tau aja orang kebanyakan download apk ini karena mau denger konten musmas, ehh di mahalin 100 koin/konten maap ya mahaalllllll",tau aja orang kebanyakan download apk ini karena mau denger konten musmas  ehh di mahalin 100 koin konten maap ya mahaalllllll,tau aja orang kebanyakan download apk ini karena mau denger konten musmas  ehh di mahalin 100 koin konten maap ya mahaalllllll,tau aja orang kebanyakan download apk denger konten musmas ehh mahalin 100 koin konten maap ya mahaalllllll,tahu saja orang kebanyakan unduh aplikasi dengar konten musmas eh mahalin 100 koin konten maaf ya mahaalllllll
162,"Podcast yang ada pilihan versi video menyedot kuota, padahal sudah dipilih yang versi audio dan sudah didownload sebelumnya. Bikin repot tiba2 kuota habis di perjalanan, padahal layar hape ga nyala juga.",netral,negatif,netral,"podcast yang ada pilihan versi video menyedot kuota, padahal sudah dipilih yang versi audio dan sudah didownload sebelumnya. bikin repot tiba2 kuota habis di perjalanan, padahal layar hape ga nyala juga.",podcast yang ada pilihan versi video menyedot kuota  padahal sudah dipilih yang versi audio dan sudah didownload sebelumnya  bikin repot tiba2 kuota habis di perjalanan  padahal layar hape ga nyala juga ,podcast yang ada pilihan versi video menyedot kuota  padahal sudah dipilih yang versi audio dan sudah didownload sebelumnya  bikin repot tiba2 kuota habis di perjalanan  padahal layar hape ga nyala juga,podcast pilihan versi video menyedot kuota dipilih versi audio didownload bikin repot tiba2 kuota habis perjalanan layar hape ga nyala,podcast pilihan versi video menyedot kuota dipilih versi audio didownload bikin repot tiba-tiba kuota habis perjalanan layar ponsel tidak nyala
163,Malem di kasih iklan horor?,netral,netral,netral,malem di kasih iklan horor?,malem di kasih iklan horor ,malem di kasih iklan horor,malem kasih iklan horor,malam kasih iklan horor
164,"Noice sekarang malah jadi buruk, cuma cabut headset aja jadi hilang suaranya..room jg udah gk bisa kan..",netral,negatif,netral,"noice sekarang malah jadi buruk, cuma cabut headset aja jadi hilang suaranya..room jg udah gk bisa kan..",noice sekarang malah jadi buruk  cuma cabut headset aja jadi hilang suaranya  room jg udah gk bisa kan  ,noice sekarang malah jadi buruk  cuma cabut headset aja jadi hilang suaranya  room jg udah gk bisa kan,noice buruk cabut headset aja hilang suaranya room jg udah gk,noice buruk pergi headset saja hilang suaranya room juga sudah tidak
165,"Tolong!!!! Iklannya horor mulu, perasaan gk pernah dengerin podcast horror di noice. Konten2 noice nggak cuma horror doang please. Bisa iklan yang lain lah, ganggu banget.",netral,netral,netral,"tolong!!!! iklannya horor mulu, perasaan gk pernah dengerin podcast horror di noice. konten2 noice nggak cuma horror doang please. bisa iklan yang lain lah, ganggu banget.",tolong     iklannya horor mulu  perasaan gk pernah dengerin podcast horror di noice  konten2 noice nggak cuma horror doang please  bisa iklan yang lain lah  ganggu banget ,tolong     iklannya horor mulu  perasaan gk pernah dengerin podcast horror di noice  konten2 noice nggak cuma horror doang please  bisa iklan yang lain lah  ganggu banget,tolong iklannya horor mulu perasaan gk dengerin podcast horror noice konten2 noice nggak horror doang please iklan ganggu banget,tolong iklannya horor terus perasaan tidak dengarkan podcast horror noice konten-konten noice tidak horror saja tolong iklan ganggu sekali
166,Maaf kak buat live tidak bisa soal barusan di update,netral,negatif,netral,maaf kak buat live tidak bisa soal barusan di update,maaf kak buat live tidak bisa soal barusan di update,maaf kak buat live tidak bisa soal barusan di update,maaf kak live tidak barusan update,maaf kakak langsung tidak baru saja pembaruan
167,"Aplikasi noice semakin kesini, semakin sulit utk dipakai, dan sering force close saat buka list download .",negatif,netral,negatif,"aplikasi noice semakin kesini, semakin sulit utk dipakai, dan sering force close saat buka list download .",aplikasi noice semakin kesini  semakin sulit utk dipakai  dan sering force close saat buka list download  ,aplikasi noice semakin kesini  semakin sulit utk dipakai  dan sering force close saat buka list download,aplikasi noice kesini sulit utk dipakai force close buka list download,aplikasi noice ke sini sulit untuk dipakai memaksa close buka daftar unduh
168,"autorotate videonya ganggu banget, jadi terjeda2",negatif,netral,netral,"autorotate videonya ganggu banget, jadi terjeda2",autorotate videonya ganggu banget  jadi terjeda2,autorotate videonya ganggu banget  jadi terjeda2,autorotate videonya ganggu banget terjeda2,autorotate videonya ganggu sekali terjeda2
169,Kenapa klo di minimize mesti keluar sendiri sih. Harus ngulang dari awal pula,netral,negatif,netral,kenapa klo di minimize mesti keluar sendiri sih. harus ngulang dari awal pula,kenapa klo di minimize mesti keluar sendiri sih  harus ngulang dari awal pula,kenapa klo di minimize mesti keluar sendiri sih  harus ngulang dari awal pula,klo minimize mesti sih ngulang,kalau minimize pasti sebenarnya mengulang
170,Aku rindu noice yang dulu 😭😭 kembalikan noice yang dulu,netral,netral,netral,aku rindu noice yang dulu 😭😭 kembalikan noice yang dulu,aku rindu noice yang dulu    kembalikan noice yang dulu,aku rindu noice yang dulu    kembalikan noice yang dulu,rindu noice kembalikan noice,rindu noice kembalikan noice
171,"Mending nonton YOUTUBE atau SPOTIFY... Noise iklannya kayak kontoI, gak akan berkembang ni aplikasi gua jamin wkwkwkwkw",netral,netral,netral,"mending nonton youtube atau spotify... noise iklannya kayak kontoi, gak akan berkembang ni aplikasi gua jamin wkwkwkwkw",mending nonton youtube atau spotify    noise iklannya kayak kontoi  gak akan berkembang ni aplikasi gua jamin wkwkwkwkw,mending nonton youtube atau spotify    noise iklannya kayak kontoi  gak akan berkembang ni aplikasi gua jamin wkwkwkwkw,mending nonton youtube spotify noise iklannya kayak kontoi gak berkembang ni aplikasi gua jamin wkwkwkwkw,lebih baik menonton youtube spotify noise iklannya seperti kontoi tidak berkembang ini aplikasi aku jamin wkwkwkwkw
172,Aplikasi favorit tapi topup coin nya ribet bener,netral,netral,netral,aplikasi favorit tapi topup coin nya ribet bener,aplikasi favorit tapi topup coin nya ribet bener,aplikasi favorit tapi topup coin nya ribet bener,aplikasi favorit topup coin nya ribet bener,aplikasi favorit topup coin nya rumit benar
173,"bintang 3 dlu, klo kontrak berizik diperpanjang baru bintang 5",netral,netral,netral,"bintang 3 dlu, klo kontrak berizik diperpanjang baru bintang 5",bintang 3 dlu  klo kontrak berizik diperpanjang baru bintang 5,bintang 3 dlu  klo kontrak berizik diperpanjang baru bintang 5,bintang 3 dlu klo kontrak berizik diperpanjang bintang 5,bintang 3 dahulu kalau kontrak berizik diperpanjang bintang 5
174,"Buka aplikasi nya lama banget, hai noice tolong perbaiki lah",netral,netral,negatif,"buka aplikasi nya lama banget, hai noice tolong perbaiki lah",buka aplikasi nya lama banget  hai noice tolong perbaiki lah,buka aplikasi nya lama banget  hai noice tolong perbaiki lah,buka aplikasi nya banget hai noice tolong perbaiki,buka aplikasi nya sekali halo noice tolong perbaiki
175,"Tolong lahh kemaren² frekuensi audio mustang fm rada kenceng, knp sekarang jadi pelan kayak radio lain... Ayo kencengin lagi lahh biar ngga perlu tingkatin volume di hp",netral,negatif,netral,"tolong lahh kemaren² frekuensi audio mustang fm rada kenceng, knp sekarang jadi pelan kayak radio lain... ayo kencengin lagi lahh biar ngga perlu tingkatin volume di hp",tolong lahh kemaren² frekuensi audio mustang fm rada kenceng  knp sekarang jadi pelan kayak radio lain    ayo kencengin lagi lahh biar ngga perlu tingkatin volume di hp,tolong lahh kemaren² frekuensi audio mustang fm rada kenceng  knp sekarang jadi pelan kayak radio lain    ayo kencengin lagi lahh biar ngga perlu tingkatin volume di hp,tolong lahh kemaren² frekuensi audio mustang fm rada kenceng knp pelan kayak radio ayo kencengin lahh biar ngga tingkatin volume hp,tolong lah kemaren² frekuensi audio mustang fm agak kencang kenapa pelan seperti radio ayo kencengin lah supaya tidak tingkatin volume ponsel
176,"Sekarang aplikasi sering crash, padahal dulu gak pernah crash atau error. Kenapa ya?",netral,netral,negatif,"sekarang aplikasi sering crash, padahal dulu gak pernah crash atau error. kenapa ya?",sekarang aplikasi sering crash  padahal dulu gak pernah crash atau error  kenapa ya ,sekarang aplikasi sering crash  padahal dulu gak pernah crash atau error  kenapa ya,aplikasi crash gak crash error ya,aplikasi crash tidak crash eror ya
177,Thank u noice udah ada musmas ber tiga,netral,netral,netral,thank u noice udah ada musmas ber tiga,thank u noice udah ada musmas ber tiga,thank u noice udah ada musmas ber tiga,thank u noice udah musmas ber,thank kamu noice sudah musmas ber
178,"Noice keren yg selalu menemani aku dimana aja, dijalan arah balik gawe, pulang gawe keren polll sukses trusss noicee",netral,netral,netral,"noice keren yg selalu menemani aku dimana aja, dijalan arah balik gawe, pulang gawe keren polll sukses trusss noicee",noice keren yg selalu menemani aku dimana aja  dijalan arah balik gawe  pulang gawe keren polll sukses trusss noicee,noice keren yg selalu menemani aku dimana aja  dijalan arah balik gawe  pulang gawe keren polll sukses trusss noicee,noice keren yg menemani dimana aja dijalan arah gawe pulang gawe keren polll sukses trusss noicee,noice keren yang menemani di mana saja dijalan arah kerja pulang kerja keren polll sukses terus noicee
179,Bagus Bgt seru apalagi aku suka denger Scary tings,netral,netral,netral,bagus bgt seru apalagi aku suka denger scary tings,bagus bgt seru apalagi aku suka denger scary tings,bagus bgt seru apalagi aku suka denger scary tings,bagus bgt seru suka denger scary tings,bagus sekali seru suka dengar takut tings
180,"Nyesel update aplikasi, ga bisa di buka saat offline.",netral,netral,negatif,"nyesel update aplikasi, ga bisa di buka saat offline.",nyesel update aplikasi  ga bisa di buka saat offline ,nyesel update aplikasi  ga bisa di buka saat offline,nyesel update aplikasi ga buka offline,menyesal pembaruan aplikasi tidak buka offline
181,"Q suka cerita horor nya sm sejarah ny,bagus bgt buat temenin klo lg masak dan kegiatan lainny",netral,netral,netral,"q suka cerita horor nya sm sejarah ny,bagus bgt buat temenin klo lg masak dan kegiatan lainny",q suka cerita horor nya sm sejarah ny bagus bgt buat temenin klo lg masak dan kegiatan lainny,q suka cerita horor nya sm sejarah ny bagus bgt buat temenin klo lg masak dan kegiatan lainny,q suka cerita horor nya sm sejarah ny bagus bgt temenin klo lg masak kegiatan lainny,ku suka cerita horor nya sama sejarah nya bagus sekali temenin kalau lagi masak kegiatan lainnya
182,Habis update malah nyedot kuota. Maksa ke video mulu. Padahal konten udah didownload,netral,negatif,netral,habis update malah nyedot kuota. maksa ke video mulu. padahal konten udah didownload,habis update malah nyedot kuota  maksa ke video mulu  padahal konten udah didownload,habis update malah nyedot kuota  maksa ke video mulu  padahal konten udah didownload,habis update nyedot kuota maksa video mulu konten udah didownload,habis pembaruan nyedot kuota maksa video terus konten sudah didownload
183,"Kenapa setiap mau beli koin selalu tidak dapat menyelesaikan pembelian. Pastikan anda telah memilih negara yang benar akun Play anda, padahal sebelumnya tidak ada yang di otak atik dan aman aman aja saat beli koin",netral,netral,netral,"kenapa setiap mau beli koin selalu tidak dapat menyelesaikan pembelian. pastikan anda telah memilih negara yang benar akun play anda, padahal sebelumnya tidak ada yang di otak atik dan aman aman aja saat beli koin",kenapa setiap mau beli koin selalu tidak dapat menyelesaikan pembelian  pastikan anda telah memilih negara yang benar akun play anda  padahal sebelumnya tidak ada yang di otak atik dan aman aman aja saat beli koin,kenapa setiap mau beli koin selalu tidak dapat menyelesaikan pembelian  pastikan anda telah memilih negara yang benar akun play anda  padahal sebelumnya tidak ada yang di otak atik dan aman aman aja saat beli koin,beli koin tidak menyelesaikan pembelian pastikan memilih negara akun play tidak otak atik aman aman aja beli koin,beli koin tidak menyelesaikan pembelian pastikan memilih negara akun putar tidak otak atik aman aman saja beli koin
184,ada iklan di akhir vidio,netral,netral,netral,ada iklan di akhir vidio,ada iklan di akhir vidio,ada iklan di akhir vidio,iklan vidio,iklan vidio
185,Noice knp aplikasimu pada saat mau di buka loading lama sekali (looping di open loading nya)pdhal sebelum nya tidak gini loh 😢,netral,netral,negatif,noice knp aplikasimu pada saat mau di buka loading lama sekali (looping di open loading nya)pdhal sebelum nya tidak gini loh 😢,noice knp aplikasimu pada saat mau di buka loading lama sekali  looping di open loading nya pdhal sebelum nya tidak gini loh  ,noice knp aplikasimu pada saat mau di buka loading lama sekali  looping di open loading nya pdhal sebelum nya tidak gini loh,noice knp aplikasimu buka loading looping open loading nya pdhal nya tidak gini loh,noice kenapa aplikasimu buka memuat looping buka memuat nya padahal nya tidak seperti ini loh
186,Sekarang malah error mau pilih dengerin audio doang ga pake video malah gabisa dan kudu dengerin dan play video jadi boros kouta,netral,negatif,netral,sekarang malah error mau pilih dengerin audio doang ga pake video malah gabisa dan kudu dengerin dan play video jadi boros kouta,sekarang malah error mau pilih dengerin audio doang ga pake video malah gabisa dan kudu dengerin dan play video jadi boros kouta,sekarang malah error mau pilih dengerin audio doang ga pake video malah gabisa dan kudu dengerin dan play video jadi boros kouta,error pilih dengerin audio doang ga pake video gabisa kudu dengerin play video boros kouta,eror pilih dengarkan audio saja tidak pakai video tidak bisa harus dengarkan putar video boros kouta
187,Kasih opsi matiin video jangan otomatis nyala.. makan kuota aja sial,netral,negatif,netral,kasih opsi matiin video jangan otomatis nyala.. makan kuota aja sial,kasih opsi matiin video jangan otomatis nyala   makan kuota aja sial,kasih opsi matiin video jangan otomatis nyala   makan kuota aja sial,kasih opsi matiin video otomatis nyala makan kuota aja sial,kasih opsi matiin video otomatis nyala makan kuota saja sial
188,"Periode 4 November ke 4 Desember bikin rugi bgt, udh buka noice premium eh malah podcaster nya gak ada update-update 🤮",netral,netral,netral,"periode 4 november ke 4 desember bikin rugi bgt, udh buka noice premium eh malah podcaster nya gak ada update-update 🤮",periode 4 november ke 4 desember bikin rugi bgt  udh buka noice premium eh malah podcaster nya gak ada update update  ,periode 4 november ke 4 desember bikin rugi bgt  udh buka noice premium eh malah podcaster nya gak ada update update,periode 4 november 4 desember bikin rugi bgt udh buka noice premium eh podcaster nya gak update update,periode 4 november 4 desember bikin rugi sekali sudah buka noice premium eh podcaster nya tidak pembaruan pembaruan
189,Wooy noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain anjir noice kntl,netral,negatif,netral,wooy noice kepada aku liat podcast tiba-tiba ganti ke podcast yang lain anjir noice kntl,wooy noice kepada aku liat podcast tiba tiba ganti ke podcast yang lain anjir noice kntl,wooy noice kepada aku liat podcast tiba tiba ganti ke podcast yang lain anjir noice kntl,wooy noice liat podcast ganti podcast anjir noice kntl,wooy noice lihat podcast ganti podcast sialan noice kntl
190,saya pakai untukradio streaming lokal bali dari luar bali cepet banget hampir tidak ada bupper.,netral,positif,netral,saya pakai untukradio streaming lokal bali dari luar bali cepet banget hampir tidak ada bupper.,saya pakai untukradio streaming lokal bali dari luar bali cepet banget hampir tidak ada bupper ,saya pakai untukradio streaming lokal bali dari luar bali cepet banget hampir tidak ada bupper,pakai untukradio streaming lokal bali bali cepet banget tidak bupper,pakai untukradio menonton lokal bali bali cepat sekali tidak bupper
191,Mantap terus maju layanan publik yang terintegrasi untuk pengguna noice di seluruh dunia dari Indonesia untuk Indonesia dan dan dunia 🇮🇩,netral,netral,netral,mantap terus maju layanan publik yang terintegrasi untuk pengguna noice di seluruh dunia dari indonesia untuk indonesia dan dan dunia 🇮🇩,mantap terus maju layanan publik yang terintegrasi untuk pengguna noice di seluruh dunia dari indonesia untuk indonesia dan dan dunia   ,mantap terus maju layanan publik yang terintegrasi untuk pengguna noice di seluruh dunia dari indonesia untuk indonesia dan dan dunia,mantap maju layanan publik terintegrasi pengguna noice dunia indonesia indonesia dunia,mantap maju layanan publik terintegrasi pengguna noice dunia indonesia indonesia dunia
192,Kenapa nggak bisa memutar yang sudah di download... Itu pun konten yang gratis...,netral,negatif,netral,kenapa nggak bisa memutar yang sudah di download... itu pun konten yang gratis...,kenapa nggak bisa memutar yang sudah di download    itu pun konten yang gratis   ,kenapa nggak bisa memutar yang sudah di download    itu pun konten yang gratis,nggak memutar download konten gratis,tidak memutar unduh konten gratis
193,Kecewa udah ga bisa offline skrg. Padahal ini aplikasi fav. Gua dulu.,netral,netral,netral,kecewa udah ga bisa offline skrg. padahal ini aplikasi fav. gua dulu.,kecewa udah ga bisa offline skrg  padahal ini aplikasi fav  gua dulu ,kecewa udah ga bisa offline skrg  padahal ini aplikasi fav  gua dulu,kecewa udah ga offline skrg aplikasi fav gua,kecewa sudah tidak offline sekarang aplikasi favorit aku
194,"Jelek , jauh bagusan spotify",netral,netral,netral,"jelek , jauh bagusan spotify",jelek   jauh bagusan spotify,jelek   jauh bagusan spotify,jelek bagusan spotify,jelek bagusan spotify
195,"Setelah di update aplikasi makin sulit, loadingnya lama banget, padahal sinyal kuat, kuota masih ada, sampah hp udah dibersihin, perangkat mendukung, WHY NOICE ???? Dan sekarang makin gak bisa di denger offline, didownload tapi harus online ? Mengecewakan.",netral,negatif,negatif,"setelah di update aplikasi makin sulit, loadingnya lama banget, padahal sinyal kuat, kuota masih ada, sampah hp udah dibersihin, perangkat mendukung, why noice ???? dan sekarang makin gak bisa di denger offline, didownload tapi harus online ? mengecewakan.",setelah di update aplikasi makin sulit  loadingnya lama banget  padahal sinyal kuat  kuota masih ada  sampah hp udah dibersihin  perangkat mendukung  why noice      dan sekarang makin gak bisa di denger offline  didownload tapi harus online   mengecewakan ,setelah di update aplikasi makin sulit  loadingnya lama banget  padahal sinyal kuat  kuota masih ada  sampah hp udah dibersihin  perangkat mendukung  why noice      dan sekarang makin gak bisa di denger offline  didownload tapi harus online   mengecewakan,update aplikasi sulit loadingnya banget sinyal kuat kuota sampah hp udah dibersihin perangkat mendukung why noice gak denger offline didownload online mengecewakan,pembaruan aplikasi sulit loadingnya sekali sinyal kuat kuota sampah ponsel sudah dibersihin perangkat mendukung why noice tidak dengar offline didownload daring mengecewakan
196,"Iklannya makin nyebelin, tak bisa minimize dan berdurasi panjang",netral,negatif,netral,"iklannya makin nyebelin, tak bisa minimize dan berdurasi panjang",iklannya makin nyebelin  tak bisa minimize dan berdurasi panjang,iklannya makin nyebelin  tak bisa minimize dan berdurasi panjang,iklannya nyebelin minimize berdurasi,iklannya menyebalkan minimize berdurasi
